"state","FIPS","name","minutes","moe"
"STRATIX10",1001,"Autauga County",26.2,1.1
"STRATIX10",1003,"Baldwin County",25.9,0.8
"STRATIX10",1005,"Barbour County",24.6,2.2
"STRATIX10",1007,"Bibb County",27.6,1.5
"STRATIX10",1009,"Blount County",33.9,1.2
"STRATIX10",1011,"Bullock County",26.9,2.9
"STRATIX10",1013,"Butler County",24,1.4
"STRATIX10",1015,"Calhoun County",22.5,0.6
"STRATIX10",1017,"Chambers County",24.6,1.1
"STRATIX10",1019,"Cherokee County",26.9,1.8
"STRATIX10",1021,"Chilton County",31.8,1.3
"STRATIX10",1023,"Choctaw County",33.4,3.2
"STRATIX10",1025,"Clarke County",25.5,1.9
"STRATIX10",1027,"Clay County",30.7,2.5
"STRATIX10",1029,"Cleburne County",31.4,2
"STRATIX10",1031,"Coffee County",21.3,0.7
"STRATIX10",1033,"Colbert County",22.7,1
"STRATIX10",1035,"Conecuh County",27.2,2.4
"STRATIX10",1037,"Coosa County",30.2,2.8
"STRATIX10",1039,"Covington County",23.3,1.7
"STRATIX10",1041,"Crenshaw County",30.3,1.8
"STRATIX10",1043,"Cullman County",26.4,1
"STRATIX10",1045,"Dale County",20.9,0.8
"STRATIX10",1047,"Dallas County",22,1.3
"STRATIX10",1049,"DeKalb County",23.3,0.8
"STRATIX10",1051,"Elmore County",28.2,0.8
"STRATIX10",1053,"Escambia County",23.5,1.7
"STRATIX10",1055,"Etowah County",23.9,0.9
"STRATIX10",1057,"Fayette County",27.5,2
"STRATIX10",1059,"Franklin County",26.2,2.3
"STRATIX10",1061,"Geneva County",25.6,1.2
"STRATIX10",1063,"Greene County",28,2.6
"STRATIX10",1065,"Hale County",27.1,2.2
"STRATIX10",1067,"Henry County",26,2.5
"STRATIX10",1069,"Houston County",20.8,0.4
"STRATIX10",1071,"Jackson County",26.4,1.3
"STRATIX10",1073,"Jefferson County",23.4,0.3
"STRATIX10",1075,"Lamar County",25.7,2.7
"STRATIX10",1077,"Lauderdale County",24.5,0.9
"STRATIX10",1079,"Lawrence County",27.8,1
"STRATIX10",1081,"Lee County",21.4,0.6
"STRATIX10",1083,"Limestone County",26.3,0.9
"STRATIX10",1085,"Lowndes County",30.4,1.8
"STRATIX10",1087,"Macon County",23.1,1.2
"STRATIX10",1089,"Madison County",21,0.3
"STRATIX10",1091,"Marengo County",22.4,1.5
"STRATIX10",1093,"Marion County",24,1.5
"STRATIX10",1095,"Marshall County",23.9,1.1
