"SEX"	"mage"	"grp"	"firstmar"	"pct"
1	14	"A"	0	0.0089
1	15	"A"	0	0.3141
1	15	"B"	0	0.5346
1	15	"N"	0	0.6535
1	15	"W"	0	0.2262
1	16	"A"	0	0.0826
1	16	"B"	0	0.3246
1	16	"N"	0	0.7426
1	16	"W"	0	0.2138
1	17	"A"	0	0.3296
1	17	"B"	0	0.2741
1	17	"N"	0	0.2342
1	17	"W"	0	0.3366
1	18	"A"	0	0.5657
1	18	"B"	0	0.6849
1	18	"N"	0	1.2231
1	18	"W"	0	0.8146
1	19	"A"	0	0.7057
1	19	"B"	0	1.169
1	19	"N"	0	2.6764
1	19	"W"	0	1.2519
1	20	"A"	0	1.0901
1	20	"B"	0	1.6918
1	20	"N"	0	2.0176
1	20	"W"	0	1.7659
1	21	"A"	0	1.228
1	21	"B"	0	2.0596
1	21	"N"	0	4.2242
1	21	"W"	0	2.6571
1	22	"A"	0	1.9761
1	22	"B"	0	2.8017
1	22	"N"	0	3.6452
1	22	"W"	0	3.5273
1	23	"A"	0	2.5198
1	23	"B"	0	2.5812
1	23	"N"	0	5.3248
1	23	"W"	0	4.1766
1	24	"A"	0	3.3854
1	24	"B"	0	3.1285
1	24	"N"	0	4.8444
1	24	"W"	0	4.4525
1	25	"A"	0	4.6124
1	25	"B"	0	3.4847
1	25	"N"	0	3.6386
1	25	"W"	0	4.695
1	26	"A"	0	6.8578
1	26	"B"	0	4.1222
1	26	"N"	0	3.3418
1	26	"W"	0	5.0205
1	27	"A"	0	8.3806
1	27	"B"	0	3.6482
1	27	"N"	0	3.5148
1	27	"W"	0	5.1586
1	28	"A"	0	8.4284
1	28	"B"	0	4.7099
1	28	"N"	0	4.0884
1	28	"W"	0	4.878
1	29	"A"	0	8.4352
1	29	"B"	0	4.4132
1	29	"N"	0	2.8347
1	29	"W"	0	4.6566
1	30	"A"	0	6.4855
1	30	"B"	0	3.6472
1	30	"N"	0	3.1648
1	30	"W"	0	4.4547
1	31	"A"	0	5.3745
1	31	"B"	0	3.5853
1	31	"N"	0	2.5313
1	31	"W"	0	4.0286
1	32	"A"	0	4.5038
1	32	"B"	0	3.335
1	32	"N"	0	3.624
1	32	"W"	0	3.4324
1	33	"A"	0	3.8321
1	33	"B"	0	3.3449
1	33	"N"	0	2.9798
1	33	"W"	0	3.2002
1	34	"A"	0	3.3001
1	34	"B"	0	3.3843
1	34	"N"	0	3.4217
1	34	"W"	0	2.8666
1	35	"A"	0	3.0304
1	35	"B"	0	3.0607
1	35	"N"	0	2.0535
